Unnamed: 0,course_name,Organization,skills,rating,reviews,metadata,skills_list,level,num_reviews,popularity,combined_text
0,Google Cybersecurity,Google," Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Audit, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",4.8,4.8(20K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['network security', 'python programming', 'linux', 'cloud computing', 'algorithms', 'audit', 'computer programming', 'computer security incident management', 'cryptography', 'databases', 'leadership and management', 'network architecture', 'risk management', 'sql']",0.0,20000.0,0.7584468617916765,Google Cybersecurity network security python programming linux cloud computing algorithms audit computer programming computer security incident management cryptography databases leadership and management network architecture risk management sql
1,Google Data Analytics,Google," Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",4.8,4.8(137K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['data analysis', 'r programming', 'sql', 'business communication', 'spreadsheet software', 'business analysis', 'data visualization', 'data management', 'general statistics', 'big data', 'communication', 'computer programming', 'data science', 'data visualization software', 'databases', 'exploratory data analysis', 'extract', 'transform', 'load', 'leadership and management', 'microsoft excel', 'problem solving', 'small data', 'statistical programming', 'tableau software']",0.0,137000.0,0.9372887241212715,Google Data Analytics data analysis r programming sql business communication spreadsheet software business analysis data visualization data management general statistics big data communication computer programming data science data visualization software databases exploratory data analysis extract transform load leadership and management microsoft excel problem solving small data statistical programming tableau software
2,Google Project Management:,Google," Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement",4.8,4.8(100K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['project management', 'strategy and operations', 'leadership and management', 'communication', 'business communication', 'collaboration', 'agile software development', 'software engineering', 'entrepreneurship', 'scrum (software development)', 'planning', 'supply chain and logistics', 'change management', 'finance', 'organizational development', 'product management', 'risk management', 'budget management', 'influencing', 'culture', 'emotional intelligence', 'people management', 'problem solving', 'procurement']",0.0,100000.0,0.9080294569861808,Google Project Management: project management strategy and operations leadership and management communication business communication collaboration agile software development software engineering entrepreneurship scrum (software development) planning supply chain and logistics change management finance organizational development product management risk management budget management influencing culture emotional intelligence people management problem solving procurement
3,IBM Data Science,IBM," Python Programming, Data Science, Machine Learning, Data Analysis, Algorithms, Data Management, Data Visualization, Human Learning, R Programming, Computer Programming, Data Mining, Data Structures, Database Administration, Database Application, Database Theory, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Statistical Programming, Big Data, Cloud Computing, IBM Cloud, Writing",4.6,4.6(120K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['python programming', 'data science', 'machine learning', 'data analysis', 'algorithms', 'data management', 'data visualization', 'human learning', 'r programming', 'computer programming', 'data mining', 'data structures', 'database administration', 'database application', 'database theory', 'databases', 'deep learning', 'exploratory data analysis', 'machine learning algorithms', 'plot (graphics)', 'sql', 'data model', 'statistical machine learning', 'general statistics', 'probability & statistics', 'regression', 'reinforcement learning', 'statistical programming', 'big data', 'cloud computing', 'ibm cloud', 'writing']",0.0,120000.0,0.879683414696003,IBM Data Science python programming data science machine learning data analysis algorithms data management data visualization human learning r programming computer programming data mining data structures database administration database application database theory databases deep learning exploratory data analysis machine learning algorithms plot (graphics) sql data model statistical machine learning general statistics probability & statistics regression reinforcement learning statistical programming big data cloud computing ibm cloud writing
4,Google Digital Marketing & E-commerce,Google," Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis",4.8,4.8(23K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['digital marketing', 'marketing', 'marketing management', 'media strategy & planning', 'sales', 'e-commerce', 'data analysis', 'social media', 'search engine optimization', 'advertising', 'communication', 'persona research', 'strategy', 'web design', 'web development', 'web development tools', 'writing', 'data management', 'market analysis']",0.0,23000.0,0.77143617809421,Google Digital Marketing & E-commerce digital marketing marketing marketing management media strategy & planning sales e-commerce data analysis social media search engine optimization advertising communication persona research strategy web design web development web development tools writing data management market analysis
5,IBM Data Analyst,IBM," Python Programming, Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Databases, SQL, Plot (Graphics), Data Management, Data Structures, Exploratory Data Analysis, Machine Learning, Business Analysis, Computer Programming, Database Administration, Database Application, Database Theory, Statistical Visualization, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning Algorithms, Probability & Statistics, Regression, Statistical Programming",4.6,4.6(73K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['python programming', 'microsoft excel', 'data visualization', 'spreadsheet software', 'data analysis', 'databases', 'sql', 'plot (graphics)', 'data management', 'data structures', 'exploratory data analysis', 'machine learning', 'business analysis', 'computer programming', 'database administration', 'database application', 'database theory', 'statistical visualization', 'data mining', 'data science', 'general statistics', 'nosql', 'r programming', 'cloud computing', 'data visualization software', 'ibm cloud', 'interactive data visualization', 'machine learning algorithms', 'probability & statistics', 'regression', 'statistical programming']",0.0,73000.0,0.8354129429264419,IBM Data Analyst python programming microsoft excel data visualization spreadsheet software data analysis databases sql plot (graphics) data management data structures exploratory data analysis machine learning business analysis computer programming database administration database application database theory statistical visualization data mining data science general statistics nosql r programming cloud computing data visualization software ibm cloud interactive data visualization machine learning algorithms probability & statistics regression statistical programming
6,Google IT Support,Google," Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems",4.8,4.8(183K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['computer networking', 'network architecture', 'network model', 'networking hardware', 'network analysis', 'computer architecture', 'critical thinking', 'problem solving', 'communication', 'human computer interaction', 'network security', 'linux', 'system security', 'cloud computing', 'computer programming', 'customer support', 'cryptography', 'leadership and management', 'operating systems']",0.0,183000.0,0.9641960963512141,Google IT Support computer networking network architecture network model networking hardware network analysis computer architecture critical thinking problem solving communication human computer interaction network security linux system security cloud computing computer programming customer support cryptography leadership and management operating systems
7,Machine Learning,Multiple educators," Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Python Programming, Regression, Statistical Machine Learning, Tensorflow, Mathematics, Critical Thinking, Network Model, Reinforcement Learning",4.9,4.9(19K reviews),Beginner · Specialization · 1 - 3 Months,"['machine learning', 'machine learning algorithms', 'applied machine learning', 'algorithms', 'deep learning', 'machine learning software', 'artificial neural networks', 'human learning', 'python programming', 'regression', 'statistical machine learning', 'tensorflow', 'mathematics', 'critical thinking', 'network model', 'reinforcement learning']",0.0,19000.0,0.7727568135912651,Machine Learning machine learning machine learning algorithms applied machine learning algorithms deep learning machine learning software artificial neural networks human learning python programming regression statistical machine learning tensorflow mathematics critical thinking network model reinforcement learning
8,Google UX Design,Google," User Experience, User Experience Design, User Research, Audit, Collaboration, Human Computer Interaction, Planning, Product Design, Product Development, Social Media, Web Design, Web Development Tools",4.8,4.8(75K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['user experience', 'user experience design', 'user research', 'audit', 'collaboration', 'human computer interaction', 'planning', 'product design', 'product development', 'social media', 'web design', 'web development tools']",0.0,75000.0,0.8812916738556742,Google UX Design user experience user experience design user research audit collaboration human computer interaction planning product design product development social media web design web development tools
9,IBM DevOps and Software Engineering,IBM," DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Python Programming, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Software Engineering Tools, Agile Software Development, Programming Principles, Security Engineering, Software Testing, Cloud Infrastructure, Kubernetes, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Cloud Storage, Docker (Software), Linux, Software-Defined Networking, Technical Product Management, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",4.6,4.6(44K reviews),Beginner · Professional Certificate · 3 - 6 Months,"['devops', 'software engineering', 'cloud computing', 'computer programming', 'application development', 'python programming', 'software architecture', 'cloud applications', 'continuous delivery', 'continuous integration', 'software engineering tools', 'agile software development', 'programming principles', 'security engineering', 'software testing', 'cloud infrastructure', 'kubernetes', 'cloud-based integration', 'microarchitecture', 'cloud platforms', 'communication', 'ibm cloud', 'scrum (software development)', 'software security', 'cloud storage', 'docker (software)', 'linux', 'software-defined networking', 'technical product management', 'collaboration', 'leadership and management', 'data analysis', 'mergers & acquisitions']",0.0,44000.0,0.7903200075690698,IBM DevOps and Software Engineering devops software engineering cloud computing computer programming application development python programming software architecture cloud applications continuous delivery continuous integration software engineering tools agile software development programming principles security engineering software testing cloud infrastructure kubernetes cloud-based integration microarchitecture cloud platforms communication ibm cloud scrum (software development) software security cloud storage docker (software) linux software-defined networking technical product management collaboration leadership and management data analysis mergers & acquisitions
